,1638750539.404598,1638750562.6383169
kappa_motors_m7,134.76,134.76
kappa_motors_m7_user_setpoint,134.76,134.76
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.20999999999998,179.20999999999998
kappa_motors_m8,59.75814238179001,58.658142381790014
kappa_motors_m8_user_setpoint,59.757816751537916,58.657816751537894
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,230.9313256302521,232.03132563025213
undulator_energy_setpoint,0.7039,0.7039
undulator_energy_readback,0.6699906587600708,0.6698822975158691
mono_energy_setpoint,691.0,691.0
mono_energy,691.0219566,690.9947571
mono_mirror_pitch,3.153182373046875,3.1531536865234377
mono_mirror_pitch_user_setpoint,3.15316162109375,3.15316162109375
mono_grating_pitch,4.274621557617188,4.274620947265625
mono_grating_pitch_user_setpoint,4.274603857421875,4.274603857421875
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.04502124,57.045013319999995
kappa_motors_m1_user_setpoint,57.04499999999999,57.04499999999999
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999999,85.26580415999999
kappa_motors_m4,-120.264,-120.263
kappa_motors_m4_user_setpoint,-120.0,-120.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-120.0,-120.0
select_detector,d4,d4
kappa_motors_m3,0.032,0.031
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,-0.0,-0.0
kappa_motors_m2,440.869,330.26300000000003
kappa_motors_m2_user_setpoint,440.77777777777777,330.2
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,440.77777777777777,330.2
kappa_motors_m9,4.8,2.6
kappa_motors_m9_user_setpoint,4.800000000000001,2.6
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-4.800000000000001,-2.6
motors_H1size_setpoint,1.7999999999999998,1.7999999999999998
motors_H1size_readback,1.7999,1.7999
motors_V1size_setpoint,1.616,1.616
motors_V1size_readback,1.6160999999999999,1.6160999999999999
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12495000000000006,0.12495000000000006
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,5.0000000000050004e-05,5.0000000000050004e-05
motors_H2size_setpoint,2.573,2.573
motors_H2size_readback,2.575,2.575
motors_V2size_setpoint,2.955,2.955
motors_V2size_readback,2.955,2.955
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.25,-0.25
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,0.0,0.0
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,300.0,300.0
motors_V4size_readback,300.0,300.0
srs_A4,5.000000000000001e-07,5.000000000000001e-07
centroidM3R,111.32657343568756,111.69255895060122
