,1638667669.8430107,1638667900.3581178
undulator_energy_setpoint,0.545901,0.545901
undulator_energy_readback,0.5147045254707336,0.5144049525260925
kappa_motors_m8,58.71814238179002,67.71814238179002
kappa_motors_m8_user_setpoint,58.717849399333886,67.71784939933389
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,231.97129298245613,222.97129298245613
select_detector,d4,d4
kappa_motors_m3,-1500.046,-1500.0620000000001
kappa_motors_m3_user_setpoint,-1500.0,-1500.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,1500.0,1500.0
kappa_motors_m9,2.0,20.0
kappa_motors_m9_user_setpoint,2.0,20.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-2.0,-20.0
mono_energy_setpoint,536.0,536.0
mono_energy,536.0060727,536.0056849
mono_mirror_pitch,3.5813641357421875,3.5813232421875
mono_mirror_pitch_user_setpoint,3.581373291015625,3.581373291015625
mono_grating_pitch,4.854468969726563,4.854477514648438
mono_grating_pitch_user_setpoint,4.854492163085937,4.854477514648438
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.04496616,57.04496616
kappa_motors_m1_user_setpoint,57.04499999999993,57.04499999999993
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999993,85.26580415999993
centroidM3R,114.2251740241431,114.35614356590533
motors_H1size_setpoint,1.9,1.9
motors_H1size_readback,1.9,1.9
motors_V1size_setpoint,1.764,1.764
motors_V1size_readback,1.7641,1.7641
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12499999999999994,0.12499999999999994
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,-4.999999999993898e-05,-4.999999999993898e-05
motors_H2size_setpoint,2.0715,2.0715
motors_H2size_readback,2.07,2.07
motors_V2size_setpoint,2.425,2.425
motors_V2size_readback,2.4250000000000003,2.4250000000000003
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.24999999999999994,-0.24999999999999994
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,0.0,0.0
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,300.0,300.0
motors_V4size_readback,300.0,300.0
kappa_motors_m2,3705.0570000000002,4905.024
kappa_motors_m2_user_setpoint,3705.0,4905.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,3705.0,4905.0
kappa_motors_m7,134.75600000000003,134.75600000000003
kappa_motors_m7_user_setpoint,134.7559273836236,134.7559273836236
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.2059273836236,179.2059273836236
kappa_motors_m4,-89.812,-89.812
kappa_motors_m4_user_setpoint,-90.0,-90.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-90.0,-90.0
srs_A4,1e-08,1e-08
