,1638750395.9866052,1638750487.16203
kappa_motors_m7,134.76,134.76100000000002
kappa_motors_m7_user_setpoint,134.76,134.76
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.20999999999998,179.20999999999998
kappa_motors_m8,58.35814238179,59.75814238179001
kappa_motors_m8_user_setpoint,58.35781675153791,59.757816751537916
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,232.3313256302521,230.9313256302521
undulator_energy_setpoint,0.7039,0.7039
undulator_energy_readback,0.6697736978530884,0.6696652770042419
mono_energy_setpoint,691.0,691.0
mono_energy,690.9943928,691.0116724
mono_mirror_pitch,3.153206787109375,3.1531329345703125
mono_mirror_pitch_user_setpoint,3.15316162109375,3.15316162109375
mono_grating_pitch,4.2746117919921875,4.274603247070313
mono_grating_pitch_user_setpoint,4.274603857421875,4.274603857421875
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.04502124,57.04502771999999
kappa_motors_m1_user_setpoint,57.04499999999999,57.04499999999999
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999999,85.26580415999999
kappa_motors_m4,-120.267,-120.268
kappa_motors_m4_user_setpoint,-120.0,-120.0
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-120.0,-120.0
select_detector,d4,d4
kappa_motors_m3,0.031,0.027
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,-0.0,-0.0
kappa_motors_m2,11.781,440.86
kappa_motors_m2_user_setpoint,0.0,440.77777777777777
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,0.0,440.77777777777777
kappa_motors_m9,2.0,4.8
kappa_motors_m9_user_setpoint,2.0,4.800000000000001
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,-2.0,-4.800000000000001
motors_H1size_setpoint,1.7999999999999998,1.7999999999999998
motors_H1size_readback,1.7999,1.7999
motors_V1size_setpoint,1.616,1.616
motors_V1size_readback,1.6160999999999999,1.6160999999999999
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12495000000000006,0.12495000000000006
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,5.0000000000050004e-05,5.0000000000050004e-05
motors_H2size_setpoint,2.573,2.573
motors_H2size_readback,2.575,2.575
motors_V2size_setpoint,2.955,2.955
motors_V2size_readback,2.955,2.955
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.25,-0.25
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,0.0,0.0
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,300.0,0.0
motors_V4size_readback,300.0,0.0
srs_A4,2.0000000000000002e-07,5.000000000000001e-07
centroidM3R,111.56098868763486,111.56620980702144
