,1638746792.5467346,1638746834.4721887
kappa_motors_m7,134.757,134.76
kappa_motors_m7_user_setpoint,134.76,134.76
kappa_motors_m7_sync,0,0
kappa_motors_m7_desc,kap,kap
kappa_motors_m7_homf,0,0
kappa_motors_m7_dval,179.20999999999998,179.20999999999998
kappa_motors_m8,57.35814238179,57.35814238179
kappa_motors_m8_user_setpoint,57.35781675153791,57.35781675153791
kappa_motors_m8_sync,0,0
kappa_motors_m8_desc,kth,kth
kappa_motors_m8_homf,0,0
kappa_motors_m8_dval,233.3313256302521,233.3313256302521
undulator_energy_setpoint,0.708,0.708
undulator_energy_readback,0.6811884641647339,0.6809664368629456
mono_energy_setpoint,695.0,695.0
mono_energy,695.0006384,694.9895175
mono_mirror_pitch,3.144061279296875,3.14401123046875
mono_mirror_pitch_user_setpoint,3.1440045166015627,3.1440045166015627
mono_grating_pitch,4.262262548828125,4.262296728515625
mono_grating_pitch_user_setpoint,4.262313818359375,4.262313818359375
mono_grating_density,1200.0,1200.0
mono_mirror_status,1,1
mono_grating_status,1,1
kappa_motors_m1,57.045195840000005,57.045195840000005
kappa_motors_m1_user_setpoint,57.04499999999999,57.04499999999999
kappa_motors_m1_sync,0,0
kappa_motors_m1_desc,kphi,kphi
kappa_motors_m1_homf,0,0
kappa_motors_m1_dval,85.26580415999999,85.26580415999999
kappa_motors_m4,-30.326,719.677
kappa_motors_m4_user_setpoint,-30.083000000000002,719.674
kappa_motors_m4_sync,0,0
kappa_motors_m4_desc,z,z
kappa_motors_m4_homf,0,0
kappa_motors_m4_dval,-30.083000000000002,719.674
select_detector,d3,d3
kappa_motors_m3,-0.063,0.009000000000000001
kappa_motors_m3_user_setpoint,0.0,0.0
kappa_motors_m3_sync,0,0
kappa_motors_m3_desc,y,y
kappa_motors_m3_homf,0,0
kappa_motors_m3_dval,-0.0,-0.0
kappa_motors_m2,-4205.135,-4205.14
kappa_motors_m2_user_setpoint,-4205.0,-4205.0
kappa_motors_m2_sync,0,0
kappa_motors_m2_desc,x,x
kappa_motors_m2_homf,0,0
kappa_motors_m2_dval,-4205.0,-4205.0
kappa_motors_m9,11.575,0.0
kappa_motors_m9_user_setpoint,0.0,0.0
kappa_motors_m9_sync,0,0
kappa_motors_m9_desc,tth,tth
kappa_motors_m9_homf,0,0
kappa_motors_m9_dval,24.253,24.253
motors_H1size_setpoint,1.798,1.798
motors_H1size_readback,1.7981000000000003,1.7981000000000003
motors_V1size_setpoint,1.613,1.613
motors_V1size_readback,1.6129000000000002,1.6129000000000002
motors_H1center_setpoint,0.125,0.125
motors_H1center_readback,0.12504999999999994,0.12504999999999994
motors_V1center_setpoint,0.0,0.0
motors_V1center_readback,-4.999999999993898e-05,-4.999999999993898e-05
motors_H2size_setpoint,2.568,2.568
motors_H2size_readback,2.5700000000000003,2.5700000000000003
motors_V2size_setpoint,2.948,2.948
motors_V2size_readback,2.9475,2.9475
motors_H2center_setpoint,-0.25,-0.25
motors_H2center_readback,-0.2500000000000001,-0.2500000000000001
motors_V2center_setpoint,0.0,0.0
motors_V2center_readback,-0.0012500000000000844,-0.0012500000000000844
motors_V4center_setpoint,0.0,0.0
motors_V4center_readback,0.0,0.0
motors_V4size_setpoint,100.0,100.0
motors_V4size_readback,100.0,100.0
srs_A4,2e-06,2e-06
centroidM3R,111.13829460395486,111.0817207295002
